STAR:010,4,NTNDO1,MISEN,MISEN,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,NTNDO1,MISEN,LINCK,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,NTNDO1,MISEN,TETRS,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,NTNDO1,MISEN,KONNG,K2,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:010,4,NTNDO1,TNP,TNP,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,NTNDO1,TNP,JOTNU,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,NTNDO1,TNP,ZELMA,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,NTNDO1,TNP,TETRS,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,NTNDO1,TNP,KONNG,K2,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:010,5,NTNDO1,ALL,KONNG,K2,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,18000,-,250,    ,   , , , , , , , , ;
STAR:020,5,NTNDO1,ALL,KEEKO,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07200,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,NTNDO1,ALL,NTNDO,K2,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,07000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,NTNDO1,ALL,NTNDO,K2,E,A,EE  , ,   ,FM, ,MCY,K2,D, ,      ,1456,0997,3040,    , ,07000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,WYLND1,SSKEE,SSKEE,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,WYLND1,SSKEE,BOEGY,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,15000,     ,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,WYLND1,TOADD,TOADD,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,WYLND1,TOADD,BOEGY,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,15000,     ,     , ,250,    ,   , , , , , , , , ;
